表示順,商品ID,商品名,カテゴリー,価格,長さ,特徴,おすすめ,販売状態,メイン画像,2way画像,Instagram注文
1,luna001,Snow Drop,NECKLACE,1500,約39cm（仮）,パールとクリアビーズの透明感を活かした軽やかなデザイン。,パールとクリアビーズの軽さを活かし、季節を問わず合わせやすい一点です。,AVAILABLE,S__146358279.jpg,,ON
2,luna002,Lumière,NECKLACE,1500,約39cm（仮）,透明感のあるパーツとパールが静かに光を拾うショートネックレス。,軽やかな透明感があり、日常のシンプルなコーディネートに合わせやすい一点です。,AVAILABLE,S__146358283.jpg,,ON
3,luna003,Sage Moon,NECKLACE,1600,約40cm（仮）,淡いグリーンとゴールドカラーを静かに組み合わせたネックレス。,淡いグリーンを差し色にしたい、ニュートラルカラーの装いにおすすめです。,AVAILABLE,S__146358278.jpg,,ON
4,luna004,Dalmata,NECKLACE,1900,約45cm（仮）,モノトーンの粒とシルバーパーツをリズミカルに配したデザイン。,モノトーンコーデのアクセントとして、柄のあるビーズを楽しみたい日におすすめです。,AVAILABLE,S__146358284.jpg,,ON
5,luna005,Silver Tide,NECKLACE,2000,約40cm（仮）,パールとシルバーカラーのパーツが波のように連なるデザイン。,シンプルな装いに、パールとシルバーの存在感を足したい日におすすめです。,AVAILABLE,S__146358289.jpg,,ON
6,luna006,Veil Heart,NECKLACE,2100,約42cm（仮）,クリアな質感と細いチェーンを重ね、ハートをアクセントにしたデザイン。,チェーンのレイヤード感を活かし、無地のトップスに合わせるのがおすすめです。,AVAILABLE,S__146358287.jpg,,ON
7,luna007,Nocturne,NECKLACE,2200,約42cm（仮）,深みのあるブラウンと透明感のあるパーツを重ねた二連デザイン。,落ち着いた色のトップスに合わせ、首元に奥行きを出したい日におすすめです。,AVAILABLE,S__146358277.jpg,,ON
8,luna008,Arc Pearl,2WAY NECKLACE,2400,約41cm（仮）,ひとつのネックレスで、2つの表情を楽しめる2wayデザイン。パールとシルバーの組み合わせを、その日のスタイルや気分に合わせて楽しめます。,パールとシルバーの見せ方を変えながら、その日の首元に合わせて2つのスタイルを楽しみたい日におすすめです。,AVAILABLE,S__146358281.jpg,S__146358280.jpg,ON
9,luna010,Étoile Bow,NECKLACE,2300,約38cm（仮）,パールの連なりに繊細なリボンモチーフを合わせたデザイン。,シャツやワンピースの首元に、繊細なアクセントを加えたい日におすすめです。,AVAILABLE,S__146358288.jpg,,ON
10,luna009,Petit Heart,BRACELET,2200,約17cm（仮）,小さなハートモチーフを連ねた、手元に馴染むブレスレット。,小さなハートをさりげなく取り入れたい、シンプルな手元のアクセントにおすすめです。,AVAILABLE,S__146358276.jpg,,ON
